rule,mass_first_kmeans,mass_second_kmeans,uncertainty_kmeans,mass_first_random,mass_second_random,uncertainty_random
"Negative Energy - 0.204, Dissimilarity - 4.715",0.22150179743766785,0.01789238303899765,0.7606058120727539,0.12096857279539108,0.07535204291343689,0.8036794662475586
"Positive Energy - 0.204, Correlation - 0.956",0.13560909032821655,0.053834784775972366,0.8105561137199402,0.10729402303695679,0.08443916589021683,0.808266818523407
"Negative Energy - 0.204, Correlation - 0.956",0.13752347230911255,0.05282755196094513,0.8096490502357483,0.11698409169912338,0.0718490481376648,0.8111668825149536
"Positive Energy - 0.204, Coarseness - 0.000",0.0,0.3370973467826843,0.6629026532173157,0.0,0.2542221248149872,0.7457779049873352
"Negative Energy - 0.204, Coarseness - 0.000",0.1891464740037918,0.0,0.8108535408973694,0.2844550609588623,0.0,0.7155449390411377
"Positive ASM - 0.058, Homogeneity - 0.479",0.21166174113750458,0.0236799456179142,0.7646582722663879,0.0655846819281578,0.12782610952854156,0.8065891861915588
"Negative ASM - 0.058, Homogeneity - 0.479",0.2339790165424347,4.091811933903955e-05,0.7659801244735718,0.20298227667808533,0.014693117700517178,0.7823246121406555
"Positive ASM - 0.058, Dissimilarity - 4.715",0.238743394613266,0.0004166166763752699,0.7608400583267212,0.16543762385845184,0.027511535212397575,0.807050883769989
"Negative ASM - 0.058, Dissimilarity - 4.715",0.09082318842411041,0.09014424681663513,0.819032609462738,0.11408284306526184,0.07944437861442566,0.8064727783203125
"Positive ASM - 0.058, Correlation - 0.956",0.18775753676891327,0.010547851212322712,0.8016946315765381,0.08318482339382172,0.11289040744304657,0.8039247393608093
"Negative ASM - 0.058, Correlation - 0.956",0.04492373391985893,0.13803116977214813,0.8170450925827026,0.08856750279664993,0.10447943210601807,0.8069530725479126
"Positive ASM - 0.058, Coarseness - 0.000",0.0,0.2364330142736435,0.7635669708251953,0.0,0.22912870347499847,0.7708712816238403
"Negative ASM - 0.058, Coarseness - 0.000",0.2759915590286255,0.0,0.7240084409713745,0.15954534709453583,0.01671656034886837,0.8237380981445312
"Positive Homogeneity - 0.479, Dissimilarity - 4.715",0.2916143834590912,1.191330284200376e-06,0.7083843946456909,0.24777604639530182,0.0036470971535891294,0.7485768795013428
